comment video_id video_name playlist_name comment_id annotator_openaichat_v0_setup annotator_openaichat_v8_confusion annotator_openaichat_v74_pedagogy
"Watched this lecture over and over, and every word starts making sense. Great for background knowledge of ML. Love this man so much!" 2IdtqGM6KWU "11. Matrix Spaces; Rank 1; Small World Graphs" "MIT 18.06 Linear Algebra, Spring 2005" 11288.0 0.0 0.0 0.0
"I've learn from him than my real teacher" 7UJ4CFRGd-U "An Interview with Gilbert Strang on Teaching Linear Algebra" "MIT 18.06 Linear Algebra, Spring 2005" 6419.0 0.0 0.0 0.0
"so there is really a mistake at 33:11... it has to be 3*2^(2/3)*V^(2/3)" YN7k_bXXggY "Lec 12 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 14347.0 0.0 1.0 0.0
"Thanks for the great video! One question: what does ""empirical"" mean here in ""empirical variance""? Thanks in advance!" a1ZCeFpeW0o "20. Principal Component Analysis (cont.)" "MIT 18.650 Statistics for Applications, Fall 2016" 9712.0 0.0 1.0 0.0
"where can I exercise those home tasks he gives?" QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 15221.0 0.0 0.0 0.0
"o, man...so many words, so many lines, useful for self confusion...relax, man, votka martini will do the job..." J7DzL2_Na80 "1. The Geometry of Linear Equations" "MIT 18.06 Linear Algebra, Spring 2005" 14097.0 0.0 0.0 0.0
"Amazing!! Really helped me in my studies" YP_B0AapU0c "Lec 16: Double integrals | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 2400.0 0.0 0.0 0.0
"An Indian edition of this book is available only in India
http://www.wellesleypublishers.com/buy.html" 2IdtqGM6KWU "11. Matrix Spaces; Rank 1; Small World Graphs" "MIT 18.06 Linear Algebra, Spring 2005" 2416.0 0.0 0.0 0.0
"# in honor of Gilbert Strang; one of my favorite teachers of all time
# along side Richard Feynman

# returns the index of the value with largest absolute value
def largestAbs(arr, s):
    i = s
    curMax = abs(arr[s])
    for n in range(s, len(arr)):
        if abs(arr[n]) > curMax:
            curMax = abs(arr[n])
            i = n

    return i, curMax

# Guass - Jordan Elimination for finding the inverse of a matrix
def GJElim(M):
    # check if its square
    n = len(M[0])
    if len(M[:,0]) != n:
        return None

    # part of the Gauss - Jordan elimination algorithm
    I = np.identity(n)
    # we do this in order to bring the right hand side of the linear system along for the ride
    A = np.concatenate((M, I), axis=1)

    # we will loop through all the columns
    for j in range(n):
        '''
        find max value along with its index; if max value is 0 then no pivot available and thus there is
        not an inverse; if there is a pivot available, then go ahead and do a row exchange IF
        the max value is NOT already in the diagnol  aka --> when the row and col value are ==
        '''
        i, maxVal = largestAbs(A[:, j], j)
        if maxVal == 0:
            return None
        elif i != j:
            temp = np.array(A[i])
            A[i] = A[j]
            A[j] = temp

        # now multiply row j  --> M[j] * 1/M[j,j]
        # this makes the diagnol value have a 1, thus allowing us to easily eliminate the other values in col
        A[j] = A[j] * (1 / A[j,j])

        for r in range(n):
            # if r == j then this means we are on the diagnol; we only eliminate cols above and below
            if r != j:
                A[r] += A[j] * -A[r,j]

    return A" QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 199.0 0.0 0.0 0.0
"Omg the orthogonality between nullspace and row space adds up so well with the v=[1,2,3] example prof. gave previous lecture. I've seen much less entertaining tv series than 18.06, this course should be on Netflix lol" YzZUIYRCE38 "14. Orthogonal Vectors and Subspaces" "MIT 18.06 Linear Algebra, Spring 2005" 8062.0 0.0 0.0 0.0
"What is the reason for wearing a baseball cap backwards?" TluTv5V0RmE "2. Conditioning and Bayes' Rule" "6.041 Probabilistic Systems Analysis and Applied Probability" 11534.0 0.0 0.0 0.0
"This guy screwed up at 26:27 by by using d(e^w)/dw = e^w, which is the exact conclusion he needs to prove. He should've calculated derivative of ln(x) using definition of derivative. Then he can find derivative of e^x using inverse function derivative property. Can't believe this is MIT." 9v25gg2qJYE "Lec 6 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 10560.0 0.0 1.0 0.0
"48:50 I had to look up why that is a right angle. It wasn't so obvious to me. But great lecture!" 60e4hdCi1D4 "Lec 17: Double integrals in polar coords; applications | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 1299.0 0.0 0.0 0.0
"I didn't get the 'mathemagic' transformation of \frac{\epsilon}{n} into \epsilon. I will be glad if someone provides an explanation or a reference to it." 9BYsNpTCZGg "Lecture 17: Rapidly Decreasing Singular Values" "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 5266.0 0.0 1.0 0.0
"I paused the video when he wrote pi/2 and solved the integral many times getting pi/8 😢, thinking I was wrong" YP_B0AapU0c "Lec 16: Double integrals | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 5897.0 0.0 1.0 0.0
"Dang, this professor does every portion of the problem so quick that it would take me a little while to do each portion." aeXp1zC6Hls "Lec 30 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 3314.0 0.0 0.0 0.0
"Thank you" 57jzPlxf4fk "Lec 5: Parametric equations for lines and curves | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 9081.0 0.0 0.0 0.0
"ok ive watched this video till the 16 min, and i jus gotta stop there, why? Cuz uptill now i tried to follow wat hes saying, then he wrote that important formula, I got lost. Deep." 7K1sB05pE0A "Lec 1 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 14127.0 0.0 0.0 0.0
"I have an exam in like.. 5 hours and am exhausted, yet, as soon as I heard the joke about Clinton and Monica, I spat out my morning coffee and laughed so hard my entire dorm woke up. Thank you so much for not only teaching me everything I need to know, but also making it fun and making it stick!" 2IdtqGM6KWU "11. Matrix Spaces; Rank 1; Small World Graphs" "MIT 18.06 Linear Algebra, Spring 2005" 5518.0 0.0 0.0 0.0
"Wow The beauty of math: vector field" xrypSZU8cBE "Lec 19: Vector fields and line integrals in the plane | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 12029.0 0.0 0.0 0.0
"Awesome explaination of the proofs!" kCPVBl953eY "Lec 3 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 2756.0 0.0 0.0 1.0
"derivative of sum = sum of derivative" UYe98CcxPbs "Lec 9: Max-min problems; least squares | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 12735.0 0.0 0.0 0.0
"Does anyone know which lecture he derive the general equation for a determinant? Would be a massive help thanks!" srxexLishgY "18. Properties of Determinants" "MIT 18.06 Linear Algebra, Spring 2005" 3446.0 0.0 1.0 0.0
"""You sure have to see it in R^3, because we're going to do it in R^10, and we may take a combination of 5 vectors in R^10, and what will we have...?


God knows..."" 

LOL!" JibVXBElKL0 "5. Transposes, Permutations, Spaces R^n" "MIT 18.06 Linear Algebra, Spring 2005" 140.0 0.0 0.0 0.0
"The probability that 0 will happen is 1. It is absolutely likely to happen that you will get zero when we sum an infinite set of zeros." TluTv5V0RmE "2. Conditioning and Bayes' Rule" "6.041 Probabilistic Systems Analysis and Applied Probability" 10234.0 0.0 0.0 0.0
"24:38 16*(first row) -9* (second row)= (third row)
Welcome back Doc Strang!" YiqIkSHSmyc "Lecture 1: The Column Space of A Contains All Vectors Ax" "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 740.0 0.0 0.0 0.0
"I want to be one of the students of  him" FX4C-JpTFgY "3. Multiplication and Inverse Matrices" "MIT 18.06 Linear Algebra, Spring 2005" 6135.0 0.0 0.0 0.0
"Wouldn't the derivative of the magnitude of the position vector 14:57 tell you the speed with respect to the origin?

The magnitude of the position vector is the distance between the position and the origin.  The derivative tells you if the magnitude is getting larger or smaller, but that's the same as saying the distance to the origin is getting larger or smaller." 0D4BbCa4gHo "Lec 6: Velocity, acceleration; Kepler's second law | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 12013.0 0.0 1.0 0.0
"My main man Gilbert ""strong"" Strang is a BOSS!!! Thank you so much for the lecture!!!" Y_Ac6KiQ1t0 "15. Projections onto Subspaces" "MIT 18.06 Linear Algebra, Spring 2005" 7771.0 0.0 0.0 0.0
"What's the fullname of BPP?" Vp_AzDGQyrA "23. Probabilistic Computation, BPP" "MIT 18.404J Theory of Computation, Fall 2020" 11581.0 0.0 1.0 0.0
"This is a gold mind! [sic]" J7DzL2_Na80 "1. The Geometry of Linear Equations" "MIT 18.06 Linear Algebra, Spring 2005" 10589.0 0.0 0.0 0.0
"Why cant all professors teach that good? Why did we need to suffer until this lecture?" bFZ-0FH5hfs "17. Bayesian Statistics" "MIT 18.650 Statistics for Applications, Fall 2016" 11801.0 0.0 0.0 0.0
"Excellent way of transfer of knowledge. Explaining difficult concept in the most easy and understandable way. 👍" ryLdyDrBfvI "Lec 2 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 3682.0 0.0 0.0 1.0
cliffhanger! nHlE7EgJFds "10. The Four Fundamental Subspaces" "MIT 18.06 Linear Algebra, Spring 2005" 12658.0 0.0 0.0 0.0
"I tried to reach same conclusion using the fact that p is perpendicular to (b-p) i.e. p(t) * (b-p) = 0 and then substitute p=Ax but failed to get similar result as @28:31. There is an x(t) hanging around.
-> p(t) *(b-p) = 0
-> (Ax)(t) * (b-Ax)=0
-> x(t) * A(t) * (b-Ax)=0
-> x(t) *  [ A(t) * b - A(t) * A * x ] = 0

--?? can I justify that the second term must equate to zero?

any suggestions how to move forward? 

where "" ""(t) is  "" "" transpose." Y_Ac6KiQ1t0 "15. Projections onto Subspaces" "MIT 18.06 Linear Algebra, Spring 2005" 6116.0 0.0 1.0 0.0
"23 is key time ." kCPVBl953eY "Lec 3 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 706.0 0.0 0.0 0.0
"I can feel professor Jerison progressively becoming more and more annoyed with that kid with all the questions." MK_0QHbUnIA "Lec 37 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 5188.0 0.0 0.0 0.0
"If anyone is struggling with this lecture, Wikipedia does a wonderful job of explaining the second derivative test intuitively: http://en.wikipedia.org/wiki/Second_partial_derivative_test#Geometric_interpretation_in_the_two-variable_case" 3_goGnJm5sA "Lec 10: Second derivative test; boundaries & infinity | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 6497.0 0.0 0.0 1.0
"Simply genius Who said algebra  is difficult." FX4C-JpTFgY "3. Multiplication and Inverse Matrices" "MIT 18.06 Linear Algebra, Spring 2005" 8668.0 0.0 0.0 0.0
"wonderful lecture" jsqSScywvMc "14. Poisson Process I" "6.041 Probabilistic Systems Analysis and Applied Probability" 15393.0 0.0 0.0 0.0
"This video quitely provides the proof of assumption of regression that features have to be uncorrelated/independent.  I have read that only  in theory but now I can see exactly why. Thank you prof strang" osh80YCg_GM "16. Projection Matrices and Least Squares" "MIT 18.06 Linear Algebra, Spring 2005" 10958.0 0.0 0.0 1.0
"Never saw someone with so much logicality, understandability and clarity in teaching linear algebra, a true GENIUS of our times!" FX4C-JpTFgY "3. Multiplication and Inverse Matrices" "MIT 18.06 Linear Algebra, Spring 2005" 7818.0 0.0 0.0 0.0
"cool ,review" QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 12676.0 0.0 0.0 0.0
"Not very different from the profs we have... :)" j9WZyLZCBzs "1. Probability Models and Axioms" "6.041 Probabilistic Systems Analysis and Applied Probability" 7934.0 0.0 0.0 0.0
"Me too…it in our DNATGC" EBdgFFf54U0 "Lecture 14: Basic Hilbert Space Theory" "MIT 18.102 Introduction to Functional Analysis, Spring 2021" 7646.0 0.0 0.0 0.0
"I have a question about the bias and variance of the estimator theta_hat = X_1 metioned at time : 11m00s.
- Why isn't the bias = (X_1 - theta)^2 ? Because bias = (E[X_1] -theta)^2 = (X_1 - theta)^2.
- Why is the variance  = 0? Because variance = E[(X_1 - E[X_1])^2] = E[(X_1 - X_1)^2] = 0." rLlZpnT02ZU "4. Parametric Inference (cont.) and Maximum Likelihood Estimation" "MIT 18.650 Statistics for Applications, Fall 2016" 5496.0 0.0 1.0 0.0
"Can someone Tell  me why @=T. ????" 0D4BbCa4gHo "Lec 6: Velocity, acceleration; Kepler's second law | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 3067.0 0.0 1.0 0.0
"Great lectures! It's been blessed to take prof Strang's class online." RWvi4Vx4CDc "34. Final Course Review" "MIT 18.06 Linear Algebra, Spring 2005" 4306.0 0.0 0.0 0.0
"At 22:04, shouldn't it be 'E[XY]=theta0*E[X]+theta1E[X^2] -> E[XY]=(E[Y]-theta1*E[X])*E[X]+theta1E[X^2] -> E[XY]-E[X]E[Y]=theta1(E[X^2]-E[X]^2)'?" tBUHRpFZy0s "24. Classical Inference II" "6.041 Probabilistic Systems Analysis and Applied Probability" 2612.0 0.0 1.0 0.0
"if u think the lectures are very easy, then good! go download the problem sets then you will actually learn something. :)" twzGBqPeW0M "Lec 11 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 13544.0 0.0 0.0 1.0
"MIT is great!!!!!!
" PxCxlsl_YwY "Lec 1: Dot product | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 7530.0 0.0 0.0 0.0
"@sententia8 I thought for like 5 mins. on your sentence, and then eventually figured out that it was so non-mathematical! lolzz" ryLdyDrBfvI "Lec 2 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 2006.0 0.0 0.0 0.0
"MIT 이래서... 최고의 인재들이 태어나는 군요." J7DzL2_Na80 "1. The Geometry of Linear Equations" "MIT 18.06 Linear Algebra, Spring 2005" 7551.0 0.0 0.0 0.0
"@kaga13 yes ok, but I'm sorry. Didn't want to offend you, I just wondering.." 7K1sB05pE0A "Lec 1 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 1915.0 0.0 0.0 0.0
"When he is looking up at the board above @17:17, and I'm scrolling the mouse to see it...... 2005 problem became 2017 problem.... doh! I troll myself. :(" QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 11616.0 1.0 0.0 0.0
"MITOPENCOURSEWARE:  US taxes and US citizen donations used to educate US economic competition world-wide.  Question:  WHY ?  Answer:  That is what the dominating public-private partnerships have decreed upon the American people:  (a) Our eaten flesh, and (b) Americans forcibly averaged into globalism.  To MIT:  Why have you gone along with such an agenda assuming you are still ""pro-America"" ?" Pd2xP5zDsRw "Lec 20 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 7556.0 0.0 0.0 0.0
"The most important concept and ---the camera man decided not to focus correctly!!" TX_vooSnhm8 "29. Singular Value Decomposition" "MIT 18.06 Linear Algebra, Spring 2005" 10195.0 1.0 0.0 0.0
"his passion to teach is one of the most beatiful things i have seen it ! wow .. he looks like feymann i mean his way of teach us" QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 13168.0 0.0 0.0 0.0
"""ZERRO""...funny accent.
" tYdoS0tkAHA "Lec 22: Green's theorem | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 142.0 0.0 0.0 0.0
"I disagree with the statement at 9:13 and 11:13. Should it not be combinations of columns of B or combinations of rows of A? Cj = A * Bj where Bj is the jth column of B. Similarly for rows, it's Ci.T = Ai.T * B where Ai.T is the ith row of A." FX4C-JpTFgY "3. Multiplication and Inverse Matrices" "MIT 18.06 Linear Algebra, Spring 2005" 5285.0 0.0 1.0 0.0
"Spectacular teaching !!!! " VqP2tREMvt0 "7. Solving Ax = 0: Pivot Variables, Special Solutions" "MIT 18.06 Linear Algebra, Spring 2005" 8865.0 0.0 0.0 0.0
"oh and by the way, that intro starts to piss me off after watching so many lectures !" dK3NEf13nPc "Lec 8: Level curves; partial derivatives; tangent plane | MIT 18.02 Multivariable Calculus, Fall 07" "MIT 18.02 Multivariable Calculus, Fall 2007" 14102.0 0.0 0.0 0.0
"Prof. Gilbert Strang was born on November 27, 1934. He wants to teach when he is 100. All the best!!!" Xa2jPbURTjQ "3. Orthonormal Columns in Q Give Q'Q = I" "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 8297.0 0.0 0.0 0.0
"a lot of mistakes this guy makes." Bv9kVDcj7yo "Lec 27 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 12286.0 0.0 0.0 0.0
"Having seen the lectures, I don't have much of a problem in the lectures, but then going onto MIT's site, I see the problemset, and I be like:


""HOW THE F*** DO PEOPLE DO THESE PROBLEMS???""" 15HVevXRsBA "Lec 13: Lagrange multipliers | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 4453.0 0.0 0.0 0.0
"Thank you so much OCW & Dr. Rodriguez for putting video lectures to these notes! Since last year's 18.102 notes were published to the website, they have been the most valuable and easily-approachable resource for me when learning functional analysis." uoL4lQxfgwg "Lecture 1: Basic Banach Space Theory" "MIT 18.102 Introduction to Functional Analysis, Spring 2021" 9354.0 0.0 0.0 0.0
"I am happy to see this person alive in 2019. May God gave him a long life" t36jZG07MYc "An Interview with Gilbert Strang on Teaching Matrix Methods in Data Analysis, Signal Processing,..." "MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018" 5103.0 0.0 0.0 0.0
"THIS PROFEESOR OF MATHEMATICS IS NICE

I WANT TO GIVE HIM TIPS BEING A STUDENT

PLEASE SIR ALWAYS ATTEMPT THOSE QUESTIONS WHICH YOU SOLVE ON BLACK BOARD

OTHERWISE DON'T ATTEMPT

I LIKED YOUR WAY OF TEACHING BUT YOU WILL GET SOME TIME TO BE PROFESSOR WALTER LEWIN

HE WAS LEGEND

YOU SHOULD SEE HIS LECTURES TO TEACH STUDENTS AS AN EXAMPLE

I LOVE TO BE AN AUSTRONAUT TO WATCH YOUR PROGRAMMES" aeXp1zC6Hls "Lec 30 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 8996.0 1.0 0.0 0.0
"Where I stopped. 0:00 Dec 26" QVKj3LADCnA "2. Elimination with Matrices." "MIT 18.06 Linear Algebra, Spring 2005" 11654.0 0.0 0.0 0.0
"what is  the professor's name ?" YP_B0AapU0c "Lec 16: Double integrals | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 15146.0 0.0 0.0 0.0
"Wonderful Explanation!" 3MOahpLxj6A "5. Discrete Random Variables I" "6.041 Probabilistic Systems Analysis and Applied Probability" 11983.0 0.0 0.0 0.0
"Actually as you seen in the lecture curl is defined as the cross product between the del operator and the vector field.The problem here is that the cross product is defined only in 3D(and 7D ),so I am also wondering how curl generalizes to higher dimension other than 7D" tzoYhe3H5dM "Lec 31: Stokes' theorem | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 2233.0 0.0 1.0 1.0
"I Really Like The Video Gradient; directional derivative; tangent plane From Your" 2XraaWefBd8 "Lec 12: Gradient; directional derivative; tangent plane | MIT 18.02 Multivariable Calculus, Fall 07" "MIT 18.02 Multivariable Calculus, Fall 2007" 4972.0 0.0 0.0 0.0
"a frenchman, giving an example based upon frog legs? how absurd." UYe98CcxPbs "Lec 9: Max-min problems; least squares | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 12282.0 0.0 0.0 0.0
"So can a field only be an ordered field if it is {0} or has no upper bound - I don't mean does not have the least upper bound property, just no upper bound?" mlPLLXHZ8_U "Lecture 4: The Characterization of the Real Numbers" "MIT 18.100A Real Analysis, Fall 2020" 8745.0 0.0 1.0 0.0
"best explain i have seen yet !!!!" TluTv5V0RmE "2. Conditioning and Bayes' Rule" "6.041 Probabilistic Systems Analysis and Applied Probability" 12539.0 0.0 0.0 0.0
"What the hell u have complied this shitty book" 9syvZr-9xwk "1. Introduction, Finite Automata, Regular Expressions" "MIT 18.404J Theory of Computation, Fall 2020" 11561.0 0.0 0.0 0.0
"I always thought that the use of matrices (with the defined mathematical operations - especially the ability to find inverses -) should have facilitated the automation of solving systems of equations. Wouldn't that be a fun computer program to write? But (and correct me if I am wrong), this turns out to be a blunt instrument  involving far more calculations than necessary. So computers follow the ""simplex"" method. This does sort out the ""linear independence""  problem as you go along. And I concede that this method is actually more suitable for automation.   I look forward to seeing how Dr Strang handles this dilemma." J7DzL2_Na80 "1. The Geometry of Linear Equations" "MIT 18.06 Linear Algebra, Spring 2005" 5046.0 0.0 0.0 0.0
"Professor just had a haircut" 60e4hdCi1D4 "Lec 17: Double integrals in polar coords; applications | MIT 18.02 Multivariable Calculus, Fall 2007" "MIT 18.02 Multivariable Calculus, Fall 2007" 8395.0 0.0 0.0 0.0
"'s' should be displacement, but that's a very minute correction" ryLdyDrBfvI "Lec 2 | MIT 18.01 Single Variable Calculus, Fall 2007" "MIT 18.01 Single Variable Calculus, Fall 2006" 212.0 0.0 1.0 0.0
"In all this time. this is by far the best explanation of least squares I've ever seen. Honestly thank you very much for the video." Y_Ac6KiQ1t0 "15. Projections onto Subspaces" "MIT 18.06 Linear Algebra, Spring 2005" 6624.0 0.0 0.0 0.0
"20:33 standard 4-step procedure of calculating probability." CadZXGNauY0 "9. Multiple Continuous Random Variables" "6.041 Probabilistic Systems Analysis and Applied Probability" 659.0 0.0 0.0 0.0
